TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.244949;0.245;right;True;True;0.9621815;-12.93159;-0.85992;98.69664;4cpd;99.51313;left;none;none;
1;0.3130169;0.245;right;True;True;1.045363;-13.35394;-1.294397;98.65631;4cpd;99.53368;left;orientationQuestion;right;
2;0.3130169;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
3;0.1916829;0.245;left;True;True;1.218106;-9.737862;0.98347;99.00151;4cpd;99.42903;right;none;none;
4;0.245;0.3130169;left;True;True;0.9897171;-13.77522;0.0008227825;98.61611;4cpd;99.52992;right;none;none;
5;0.245;0.4;right;True;True;0.9205288;-8.578728;-0.7779427;99.11214;4cpd;99.44371;right;none;none;
6;0.245;0.3130169;left;True;True;1.143773;-10.73344;-1.064738;98.90646;2cpd;99.45558;right;none;none;
7;0.3130169;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
8;0.4;0.245;right;True;True;1.16056;-8.326012;-0.8663311;99.13628;2cpd;99.44563;left;orientationQuestion;right;
9;0.245;0.4;left;True;True;1.102227;-11.96898;-0.8346095;98.78853;2cpd;99.47593;right;orientationQuestion;right;
10;0.15;0.245;right;True;True;1.067806;-10.41447;0.5242164;98.93691;2cpd;99.43028;left;none;none;
11;0.245;0.4;left;True;True;1.0324;-8.50705;0.4386396;99.11899;2cpd;99.43368;right;none;none;
12;0.245;0.15;right;True;False;0;0;0;0;2cpd;0;none;none;none;
13;0.15;0.245;right;True;True;1.238922;-11.54528;-1.403603;98.82896;2cpd;99.47985;right;orientationQuestion;left;
14;0.245;0.1916829;left;True;True;1.013058;-13.25046;0.5786862;98.66619;4cpd;99.50191;left;none;none;
15;0.245;0.3130169;right;True;True;1.04471;-10.53529;0.548646;98.92537;2cpd;99.4418;right;none;none;
16;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
17;0.3130169;0.245;left;True;True;0.7877614;-9.546867;-0.06074047;99.01972;2cpd;99.48059;right;orientationQuestion;right;
18;0.3130169;0.245;left;True;True;0.9505174;-9.497017;-0.1973348;99.02448;4cpd;99.46899;left;orientationQuestion;right;
19;0.1916829;0.245;left;True;True;0.8723274;-12.29858;0.49615;98.75704;2cpd;99.50264;right;none;none;
20;0.245;0.244949;left;True;True;0.87988;-11.35094;-1.224632;98.84751;2cpd;99.50416;left;none;none;
21;0.245;0.1916829;left;True;True;0.7867847;-10.96947;-0.8750925;98.88392;4cpd;99.48927;left;orientationQuestion;left;
22;0.3130169;0.245;right;True;True;1.099662;-13.29105;-1.300582;98.66231;4cpd;99.5571;left;none;none;
23;0.4;0.245;left;True;True;1.189135;-12.80759;-0.9829168;98.70847;2cpd;99.52485;left;orientationQuestion;left;
24;0.3130169;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
25;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
26;0.15;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
27;0.245;0.1916829;right;True;False;0;0;0;0;2cpd;0;none;none;none;
28;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
29;0.245;0.15;right;True;False;0;0;0;0;2cpd;0;none;none;none;
30;0.245;0.15;right;True;False;0;0;0;0;2cpd;0;none;none;none;
31;0.15;0.245;right;True;True;1.088302;-10.08674;-1.336402;98.96819;2cpd;99.49377;right;orientationQuestion;right;
32;0.3130169;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
33;0.3130169;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
34;0.245;0.244949;right;True;False;0;0;0;0;4cpd;0;none;none;none;
35;0.15;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
36;0.245;0.244949;right;True;False;0;0;0;0;4cpd;0;none;none;none;
37;0.3130169;0.245;left;True;True;0.76111;-9.705086;0.06909323;99.00464;4cpd;99.48058;left;none;none;
38;0.245;0.4;left;True;True;0.7370036;-6.201805;-0.05408835;99.33904;4cpd;99.56724;right;orientationQuestion;right;
39;0.245;0.4;right;True;True;0.9154232;-10.89821;-1.397683;98.89072;2cpd;99.55167;right;orientationQuestion;right;
40;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
41;0.3130169;0.245;left;True;True;0.9966209;-5.319733;-0.3430409;99.42323;2cpd;99.61045;left;none;none;
42;0.3130169;0.245;right;True;True;0.9481646;-7.571564;-0.04519033;99.20828;4cpd;99.53105;left;none;none;
