TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.4;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
1;0.4;0.245;right;True;True;1.058508;-11.13576;0.7612717;98.86806;2cpd;99.48353;left;none;none;
2;0.3130169;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
3;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
4;0.245;0.244949;right;True;True;0.8509099;-9.585205;-0.3406169;99.01608;4cpd;99.47617;left;none;none;
5;0.4;0.245;right;True;True;0.9821336;-5.478989;0.2855606;99.40804;2cpd;99.5491;left;none;none;
6;0.15;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
7;0.245;0.3130169;right;True;False;0;0;0;0;4cpd;0;none;none;none;
8;0.15;0.245;left;True;True;0.823822;-7.642647;-0.3572342;99.20151;2cpd;99.49275;left;orientationQuestion;right;
9;0.1916829;0.245;left;True;True;0.692691;-7.49498;-1.420818;99.2156;2cpd;99.51534;left;none;none;
10;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
11;0.3130169;0.245;right;True;True;0.661922;-5.95961;-1.19218;99.36217;4cpd;99.55482;left;none;none;
12;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
13;0.245;0.4;left;True;False;0;0;0;0;2cpd;0;none;none;none;
14;0.1916829;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
15;0.245;0.1916829;right;True;True;0.634406;-5.359413;0.482408;99.41943;2cpd;99.55676;left;none;none;
16;0.245;0.244949;left;True;True;0.7340773;-5.278999;-1.052355;99.42712;4cpd;99.5782;left;orientationQuestion;right;
17;0.245;0.244949;right;True;False;0;0;0;0;4cpd;0;none;none;none;
18;0.245;0.244949;left;True;True;0.9094819;-5.248161;4.007586;99.43008;4cpd;99.60374;left;orientationQuestion;right;
19;0.245;0.1916829;left;True;True;0.7284417;-8.525009;-1.474475;99.11729;4cpd;99.50417;left;none;none;
20;0.245;0.15;right;True;False;0;0;0;0;2cpd;0;none;none;none;
21;0.245;0.1916829;left;True;False;0;0;0;0;4cpd;0;none;none;none;
22;0.245;0.4;left;True;True;0.6508715;-13.38195;-1.105006;98.65366;2cpd;99.57111;right;none;none;
23;0.245;0.3130169;right;True;True;1.348781;-11.97504;0.8050585;98.78794;4cpd;99.50166;left;none;none;
24;0.245;0.3130169;right;False;False;0;0;0;0;4cpd;0;none;none;none;
25;0.15;0.245;right;True;True;0.7184249;-9.820221;-0.5734968;98.99364;2cpd;99.48142;right;orientationQuestion;right;
26;0.3130169;0.245;right;True;True;0.6263044;-8.180115;-0.2207839;99.15019;2cpd;99.48568;right;none;none;
27;0.245;0.3130169;left;True;True;0.59919;-11.75795;-0.02263165;98.80867;4cpd;99.50247;left;none;none;
28;0.245;0.244949;right;True;True;0.7351449;-9.317024;0.4084473;99.04168;4cpd;99.47097;left;none;none;
29;0.4;0.245;left;True;True;0.8285447;-8.708656;-0.8687844;99.09974;2cpd;99.48742;left;orientationQuestion;right;
30;0.3130169;0.245;left;True;True;0.6266164;-5.678299;-0.8144217;99.38902;4cpd;99.55924;left;none;none;
31;0.245;0.1916829;right;True;True;0.6773854;-5.232285;1.214372;99.43159;4cpd;99.55973;right;none;none;
32;0.4;0.245;left;True;True;0.6110747;-8.292816;0.03074169;99.13945;2cpd;99.48264;left;none;none;
33;0.3130169;0.245;left;True;True;0.6993575;-6.638206;-0.01008224;99.29739;2cpd;99.5144;left;none;none;
34;0.245;0.15;right;True;True;0.8799205;-8.57177;-0.08653069;99.11281;4cpd;99.48305;right;none;none;
35;0.245;0.4;left;True;True;0.6772575;-6.740959;-0.09398556;99.28757;4cpd;99.51189;left;none;none;
36;0.245;0.4;left;True;True;0.7798648;-5.899025;0.6939993;99.36794;4cpd;99.53255;left;none;none;
37;0.245;0.15;left;True;True;0.690441;-8.206024;-0.7175989;99.14772;4cpd;99.49113;left;none;none;
38;0.245;0.4;right;True;True;0.8266531;-9.40493;0.7808144;99.03329;4cpd;99.46866;right;none;none;
39;0.245;0.1916829;left;True;True;0.8801758;-5.860466;0.1635709;99.37162;2cpd;99.53643;right;none;none;
40;0.245;0.15;left;True;True;1.086316;-6.072845;-0.387641;99.35136;4cpd;99.53642;left;none;none;
41;0.245;0.15;right;True;True;0.7201159;-7.98967;-0.7021918;99.16837;4cpd;99.50603;left;none;none;
42;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
43;0.3130169;0.245;left;True;True;0.6745368;-5.312149;4.118655;99.42397;4cpd;99.60044;left;orientationQuestion;left;
44;0.245;0.244949;left;True;True;0.8583689;-5.453285;3.888856;99.41049;2cpd;99.58759;left;none;none;
45;0.245;0.4;left;True;True;0.8941472;-5.663101;-1.106891;99.39046;4cpd;99.55892;right;orientationQuestion;left;
46;0.245;0.1916829;right;True;False;0;0;0;0;4cpd;0;none;none;none;
47;0.15;0.245;left;True;True;0.833111;-5.435623;3.684671;99.41216;2cpd;99.58537;right;none;none;
48;0.1916829;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
49;0.245;0.15;right;True;False;0;0;0;0;4cpd;0;none;none;none;
50;0.4;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
51;0.245;0.4;left;True;False;0;0;0;0;2cpd;0;none;none;none;
52;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
53;0.245;0.3130169;right;True;True;0.6184075;-7.145149;-0.4754248;99.24899;4cpd;99.506;right;none;none;
54;0.245;0.15;left;True;True;0.8579248;-8.379738;-1.0448;99.13114;4cpd;99.49454;left;none;none;
55;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
