TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.244949;0.245;left;True;True;0.5297926;-12.34998;-0.3128438;98.75215;4cpd;99.5374;left;none;none;
1;0.244949;0.245;right;True;True;0.4431083;-10.50389;-0.4905376;98.92837;2cpd;99.50234;right;none;none;
2;0.244949;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
3;0.244949;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
4;0.1916829;0.245;left;True;True;0.4203163;-10.90786;-1.368334;98.88981;2cpd;99.52375;right;none;none;
5;0.245;0.244949;right;True;False;0;0;0;0;4cpd;0;none;none;none;
6;0.15;0.245;right;True;True;0.3551652;-8.06797;-1.435625;99.1609;2cpd;99.52572;right;none;none;
7;0.244949;0.245;right;True;True;0.4075055;-8.542786;-1.094969;99.11557;4cpd;99.51446;left;none;none;
8;0.4;0.245;right;True;True;0.4468132;-5.527023;-0.9293509;99.40346;4cpd;99.58549;left;none;none;
9;0.245;0.4;left;True;True;0.3986452;-6.19648;-0.6753464;99.33954;4cpd;99.55682;right;none;none;
10;0.244949;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
11;0.244949;0.245;left;True;True;0.3979873;-5.731697;-0.6567039;99.38392;2cpd;99.57493;left;none;none;
12;0.244949;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
13;0.245;0.3130169;left;True;True;0.4299254;-6.105362;-0.6102571;99.34824;4cpd;99.55875;right;orientationQuestion;right;
14;0.245;0.4;right;True;True;0.3640465;-7.572395;-0.8977294;99.20821;2cpd;99.52494;left;none;none;
15;0.4;0.245;right;True;True;0.4417764;-5.948303;-1.0934;99.36324;2cpd;99.5723;left;none;none;
16;0.245;0.15;right;True;True;0.3599263;-8.211075;-1.244609;99.14724;2cpd;99.52406;left;none;none;
17;0.245;0.3130169;left;True;True;0.30981;-6.371414;-0.7344723;99.32285;4cpd;99.54986;left;none;none;
18;0.1916829;0.245;right;True;True;0.3489153;-5.442909;-1.200149;99.41148;2cpd;99.59477;left;none;none;
19;0.245;0.3130169;right;True;True;0.3059202;-5.300537;4.35183;99.42507;2cpd;99.63393;right;orientationQuestion;left;
20;0.245;0.3130169;right;True;True;0.3195356;-6.815796;-1.229021;99.28043;2cpd;99.54574;left;none;none;
21;0.1916829;0.245;right;True;True;0.4066623;-5.244751;1.492453;99.4304;2cpd;99.57897;right;none;none;
22;0.245;0.4;left;True;True;0.3746715;-5.752243;-0.6900778;99.38195;2cpd;99.57271;right;orientationQuestion;right;
23;0.1916829;0.245;left;True;True;0.4063248;-5.373764;-0.5084915;99.41808;4cpd;99.58546;left;none;none;
24;0.244949;0.245;right;True;True;0.4382745;-6.535049;-1.311297;99.30723;4cpd;99.55987;right;orientationQuestion;left;
25;0.245;0.3130169;right;True;True;0.4009143;-9.959442;-1.410589;98.98035;2cpd;99.52287;right;none;none;
26;0.245;0.244949;left;True;True;0.3293786;-6.926422;-0.8570318;99.26987;2cpd;99.54068;right;none;none;
27;0.244949;0.245;left;True;True;0.3604794;-5.723572;-0.9262247;99.38468;4cpd;99.58256;right;orientationQuestion;right;
28;0.1916829;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
29;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
30;0.3130169;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
31;0.4;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
32;0.245;0.3130169;left;True;True;0.4609613;-12.77921;-1.371161;98.71117;4cpd;99.58026;right;none;none;
33;0.245;0.1916829;right;True;True;0.3019381;-12.4067;-1.332311;98.74673;2cpd;99.56884;left;none;none;
34;0.245;0.3130169;right;True;True;0.3193036;-9.430901;-1.111402;99.03078;4cpd;99.52031;right;orientationQuestion;left;
35;0.245;0.244949;right;True;True;0.3819961;-11.10291;-1.296798;98.87119;2cpd;99.53721;right;none;none;
36;0.15;0.245;right;True;True;0.3899474;-13.11257;-0.8888512;98.67936;2cpd;99.58153;right;none;none;
37;0.245;0.244949;left;True;True;0.3986615;-8.996468;-1.4653;99.07228;2cpd;99.53017;left;none;none;
38;0.245;0.4;left;True;True;0.4028759;-11.01051;-0.9140806;98.88001;2cpd;99.52942;right;none;none;
39;0.244949;0.245;right;True;True;0.3651;-9.780235;-1.27013;98.99746;4cpd;99.52488;left;none;none;
40;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
41;0.245;0.3130169;left;True;True;0.348107;-12.08391;-0.9286666;98.77754;2cpd;99.54913;right;none;none;
42;0.3130169;0.245;left;True;True;0.4218386;-13.09386;-0.6689177;98.68114;4cpd;99.57343;right;orientationQuestion;right;
43;0.15;0.245;right;True;True;0.480904;-11.44096;-1.208786;98.83893;2cpd;99.53656;right;none;none;
44;0.4;0.245;right;True;True;0.4270217;-7.313576;-1.153347;99.23291;4cpd;99.54253;left;none;none;
45;0.245;0.4;left;True;True;0.5084187;-10.90188;-0.6788826;98.89039;2cpd;99.52246;left;none;none;
46;0.245;0.244949;left;True;True;0.3651006;-8.514153;-1.032017;99.1183;2cpd;99.52304;left;orientationQuestion;right;
47;0.245;0.1916829;left;True;True;0.4109041;-6.043663;-0.4453402;99.35414;2cpd;99.56519;left;none;none;
48;0.15;0.245;right;True;True;0.3159706;-12.04021;-1.402293;98.78172;2cpd;99.55889;right;none;none;
49;0.245;0.244949;left;True;True;0.3122483;-9.637848;-1.083996;99.01104;2cpd;99.5189;left;orientationQuestion;right;
50;0.245;0.15;left;True;True;0.4127395;-8.657936;-0.6541357;99.10458;2cpd;99.51595;left;none;none;
51;0.245;0.3130169;right;True;True;0.3525053;-8.468353;-0.6863174;99.12268;4cpd;99.51659;left;none;none;
52;0.244949;0.245;left;True;True;0.4515026;-9.374245;-0.8741264;99.0362;4cpd;99.51431;right;none;none;
53;0.245;0.15;right;True;True;0.4889318;-10.32915;-1.456245;98.94506;2cpd;99.53193;left;none;none;
54;0.245;0.1916829;right;True;True;0.4870291;-7.937782;-1.432981;99.17332;4cpd;99.54018;left;none;none;
55;0.245;0.1916829;left;True;True;0.3891977;-8.200531;-1.213386;99.14825;4cpd;99.53129;right;none;none;
56;0.245;0.3130169;right;True;True;0.3973129;-6.958237;-1.37839;99.26684;4cpd;99.55418;left;none;none;
57;0.244949;0.245;left;True;True;0.4165684;-6.462418;-0.7130327;99.31416;4cpd;99.55524;right;none;none;
58;0.1916829;0.245;left;True;True;0.4561338;-7.666878;-0.691761;99.19918;4cpd;99.52695;left;none;none;
59;0.4;0.245;right;True;True;0.3995562;-8.621864;-0.7895222;99.10802;4cpd;99.51698;left;none;none;
