TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.245;0.3130169;left;True;True;0.544336;-8.613914;-1.126935;99.10877;4cpd;99.52213;right;none;none;
1;0.244949;0.245;left;True;True;0.5149564;-7.021355;-1.107259;99.26081;2cpd;99.54565;left;none;none;
2;0.245;0.1916829;left;True;True;0.5163543;-7.655746;-0.9585886;99.20025;4cpd;99.52605;left;none;none;
3;0.4;0.245;right;True;True;0.4680928;-9.807915;-0.8354983;98.99481;4cpd;99.50719;left;none;none;
4;0.15;0.245;right;True;True;0.4855643;-10.03854;-1.419513;98.9728;2cpd;99.52114;right;orientationQuestion;left;
5;0.245;0.1916829;right;True;True;0.5644131;-11.13882;-1.292709;98.86777;4cpd;99.53565;right;orientationQuestion;left;
6;0.245;0.4;left;True;True;0.5605032;-11.48663;-1.465367;98.83456;4cpd;99.54347;right;none;none;
7;0.245;0.1916829;left;True;True;0.5076675;-11.47013;-0.4541814;98.83614;2cpd;99.52036;left;orientationQuestion;right;
8;0.245;0.244949;left;True;True;0.5222166;-9.726921;-0.4617014;99.00255;4cpd;99.50019;right;none;none;
9;0.3130169;0.245;left;True;True;0.570762;-8.620865;-1.230613;99.10812;2cpd;99.51881;right;orientationQuestion;right;
10;0.244949;0.245;left;True;True;0.4817637;-11.31901;-1.248408;98.85056;2cpd;99.54498;right;none;none;
11;0.245;0.15;left;True;True;0.434917;-7.491776;-0.8150539;99.2159;2cpd;99.53426;left;orientationQuestion;right;
12;0.4;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
13;0.1916829;0.245;left;True;True;0.5768281;-7.472763;-0.3789408;99.21771;4cpd;99.52119;right;none;none;
14;0.244949;0.245;right;True;True;0.5581116;-10.1132;-0.44311;98.96566;4cpd;99.50237;left;orientationQuestion;left;
15;0.244949;0.245;right;True;True;0.5707555;-7.642311;-0.7896528;99.20153;2cpd;99.52052;left;none;none;
16;0.245;0.244949;left;True;True;0.5288522;-8.464172;-0.2512372;99.12308;4cpd;99.50163;right;none;none;
17;0.245;0.3130169;right;True;True;0.5635508;-5.580811;-1.130403;99.39831;4cpd;99.58375;left;none;none;
18;0.245;0.4;left;True;True;0.4746328;-10.00625;-0.7763968;98.97588;4cpd;99.51337;right;none;none;
19;0.1916829;0.245;right;True;True;0.5166947;-8.672241;-0.4337666;99.10323;4cpd;99.50017;left;none;none;
20;0.245;0.15;left;True;True;0.5305749;-9.663101;-0.6753759;99.00864;4cpd;99.50767;left;orientationQuestion;left;
21;0.245;0.244949;left;True;True;0.483411;-5.878075;-0.7011838;99.36994;2cpd;99.57865;left;none;none;
22;0.245;0.3130169;left;True;True;0.5349201;-7.914803;-1.354922;99.17553;4cpd;99.53693;left;none;none;
23;0.244949;0.245;right;True;True;0.4714343;-5.250885;2.023538;99.42981;4cpd;99.59358;left;orientationQuestion;left;
24;0.1916829;0.245;right;True;True;0.3636363;-8.638382;-1.282227;99.10645;2cpd;99.52884;right;orientationQuestion;right;
25;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
26;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
27;0.245;0.244949;left;True;True;0.5696853;-8.171623;-1.008698;99.151;4cpd;99.52382;left;none;none;
28;0.3130169;0.245;left;True;True;0.5742067;-6.247498;-1.433805;99.33467;4cpd;99.5798;left;none;none;
29;0.3130169;0.245;right;True;True;0.5341232;-5.847992;-1.366435;99.3728;4cpd;99.5882;left;none;none;
30;0.244949;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
31;0.245;0.15;right;True;True;0.5409449;-9.758537;-0.9930162;98.9995;2cpd;99.50612;left;none;none;
32;0.245;0.15;right;True;True;0.4931693;-5.910301;-0.8990579;99.36686;2cpd;99.56757;left;none;none;
33;0.245;0.1916829;right;True;False;0;0;0;0;4cpd;0;none;none;none;
34;0.245;0.4;right;True;True;0.504479;-8.040878;-0.7245173;99.16348;2cpd;99.50858;right;none;none;
35;0.245;0.244949;left;True;True;0.4575549;-6.528221;-0.8650808;99.30787;2cpd;99.54159;right;orientationQuestion;left;
36;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
37;0.3130169;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
38;0.3130169;0.245;right;True;True;0.5622948;-9.268585;-0.6257696;99.04629;2cpd;99.48666;right;orientationQuestion;left;
39;0.4;0.245;left;True;True;0.5739271;-8.669716;-1.33001;99.10346;4cpd;99.50582;right;orientationQuestion;left;
40;0.245;0.4;right;True;True;0.749114;-11.21272;-0.8694277;98.86071;2cpd;99.51369;right;none;none;
41;0.245;0.4;left;True;False;0;0;0;0;2cpd;0;none;none;none;
42;0.244949;0.245;right;True;True;0.5823916;-7.648247;-0.3866286;99.20096;2cpd;99.50941;left;none;none;
43;0.15;0.245;right;True;True;0.4722233;-6.098038;-0.9708033;99.34895;2cpd;99.55752;right;none;none;
44;0.245;0.15;right;True;True;0.4769817;-6.725204;-1.242553;99.28909;4cpd;99.5451;left;none;none;
45;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
46;0.245;0.3130169;left;True;False;0;0;0;0;4cpd;0;none;none;none;
47;0.1916829;0.245;right;True;True;0.575404;-6.015511;-1.318881;99.35681;2cpd;99.58518;right;none;none;
48;0.1916829;0.245;left;True;True;0.366184;-7.851402;-1.244609;99.18157;2cpd;99.52323;left;none;none;
49;0.1916829;0.245;left;True;True;0.3547949;-7.618553;-1.290604;99.2038;2cpd;99.52466;right;none;none;
