TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.3130169;0.245;left;True;True;1.222399;-10.00634;-0.7615156;98.97588;2cpd;99.46504;left;none;none;
1;0.245;0.1916829;right;True;True;1.442097;-9.522499;-0.2459328;99.02206;2cpd;99.45444;left;orientationQuestion;right;
2;0.1916829;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
3;0.245;0.244949;left;True;True;1.195853;-8.823944;0.9300647;99.08874;2cpd;99.45284;left;none;none;
4;0.245;0.1916829;right;True;True;1.192666;-10.47547;0.4272566;98.93109;2cpd;99.44623;left;orientationQuestion;right;
5;0.245;0.244949;right;True;True;1.273933;-11.24419;1.268088;98.8577;4cpd;99.45539;right;none;none;
6;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
7;0.3130169;0.245;left;True;True;1.250203;-9.227844;-1.301984;99.05019;4cpd;99.47121;left;none;none;
8;0.245;0.15;left;True;True;1.040881;-5.370766;4.452058;99.41837;2cpd;99.58446;left;orientationQuestion;right;
9;0.244949;0.245;left;True;True;1.321452;-6.187881;-1.24016;99.34039;4cpd;99.57314;left;none;none;
10;0.1916829;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
11;0.3130169;0.245;right;True;True;1.34939;-8.078255;0.4635408;99.1599;2cpd;99.49303;left;none;none;
12;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
13;0.245;0.4;left;True;False;0;0;0;0;4cpd;0;none;none;none;
14;0.244949;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
15;0.1916829;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
16;0.1916829;0.245;right;True;True;1.242837;-10.31009;-1.253356;98.94688;4cpd;99.48673;right;none;none;
17;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
18;0.244949;0.245;left;True;True;1.165861;-8.664772;1.442541;99.10394;2cpd;99.47038;right;orientationQuestion;left;
19;0.15;0.245;left;True;True;1.442364;-10.58681;-0.8891845;98.92047;2cpd;99.49333;right;none;none;
20;0.245;0.4;right;True;True;1.274177;-9.785812;-0.9872231;98.9969;2cpd;99.47309;right;none;none;
21;0.245;0.4;right;True;False;0;0;0;0;4cpd;0;none;none;none;
22;0.245;0.4;left;True;True;1.308297;-10.87413;-1.123872;98.89302;2cpd;99.50989;left;none;none;
23;0.4;0.245;right;True;True;1.34355;-10.73096;-1.04533;98.90672;2cpd;99.49002;left;none;none;
24;0.245;0.4;right;True;True;1.301285;-13.1721;-1.430696;98.67368;2cpd;99.5513;right;orientationQuestion;left;
25;0.244949;0.245;right;True;True;1.4053;-12.62376;0.7747262;98.72602;4cpd;99.50546;right;orientationQuestion;right;
26;0.244949;0.245;right;True;True;1.41559;-12.07785;0.8460717;98.77812;4cpd;99.48119;right;none;none;
27;0.245;0.1916829;right;True;True;1.351947;-7.040718;1.484748;99.25896;4cpd;99.4837;left;none;none;
28;0.245;0.4;left;True;True;1.535097;-10.65911;-1.261604;98.91354;2cpd;99.48461;right;none;none;
29;0.245;0.4;left;True;True;1.344733;-7.242439;1.42789;99.2397;4cpd;99.48344;right;none;none;
30;0.245;0.3130169;left;True;True;1.635205;-11.23362;-0.4680052;98.85871;4cpd;99.47841;right;orientationQuestion;right;
31;0.244949;0.245;right;True;True;1.459801;-10.30665;-0.4567039;98.9472;2cpd;99.46336;right;none;none;
32;0.244949;0.245;left;True;True;1.593352;-6.18779;0.4538512;99.34039;4cpd;99.4916;left;none;none;
33;0.245;0.15;right;True;True;1.483221;-6.888428;1.084021;99.27351;4cpd;99.4782;left;none;none;
34;0.245;0.1916829;left;True;True;1.533567;-9.105766;0.8597667;99.06185;2cpd;99.45013;left;orientationQuestion;left;
35;0.245;0.15;right;True;True;1.50263;-8.397629;-0.5045919;99.12946;2cpd;99.46812;left;none;none;
36;0.15;0.245;left;True;True;1.907702;-8.425713;-0.7872233;99.12675;4cpd;99.47818;right;orientationQuestion;left;
37;0.3130169;0.245;left;True;True;1.414674;-6.485504;-0.5809479;99.31196;2cpd;99.51233;left;none;none;
38;0.15;0.245;left;True;True;1.389162;-6.834053;-1.196652;99.27868;4cpd;99.50431;right;none;none;
39;0.245;0.3130169;left;True;True;1.329508;-7.174904;1.83571;99.24615;2cpd;99.49162;right;none;none;
40;0.245;0.3130169;right;True;True;1.608351;-9.80574;-0.1660187;98.99503;2cpd;99.44837;right;none;none;
41;0.1916829;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
42;0.4;0.245;left;True;True;1.323624;-5.824814;1.250414;99.37504;4cpd;99.51698;left;orientationQuestion;left;
43;0.245;0.15;left;True;True;1.262897;-10.1693;1.652387;98.9603;4cpd;99.45079;left;orientationQuestion;right;
44;0.15;0.245;left;True;True;1.666803;-10.58221;-0.4651957;98.92089;2cpd;99.45846;right;none;none;
45;0.245;0.15;right;True;True;1.588603;-13.83276;2.447411;98.6106;2cpd;99.54971;right;orientationQuestion;left;
46;0.3130169;0.245;left;True;True;1.42323;-9.620155;0.674109;99.01273;2cpd;99.48367;left;none;none;
47;0.244949;0.245;left;True;True;1.511765;-12.91107;2.006565;98.69859;2cpd;99.54915;left;none;none;
48;0.245;0.1916829;right;True;True;1.68295;-10.98122;1.24614;98.8828;2cpd;99.49075;left;none;none;
49;0.1916829;0.245;right;True;True;1.609115;-10.8939;2.388674;98.89114;2cpd;99.49998;right;none;none;
50;0.245;0.1916829;left;True;True;1.249429;-7.371849;-0.7004418;99.22736;2cpd;99.5265;left;none;none;
51;0.1916829;0.245;right;True;True;1.290406;-5.552223;-1.012299;99.40104;2cpd;99.58188;right;orientationQuestion;left;
52;0.3130169;0.245;right;True;True;1.745676;-5.504944;2.406507;99.40556;2cpd;99.57109;left;none;none;
53;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
54;0.244949;0.245;right;True;True;1.421179;-7.406479;1.083445;99.22404;4cpd;99.51069;right;none;none;
55;0.245;0.3130169;right;True;True;1.378922;-9.139519;0.5456648;99.05861;4cpd;99.509;right;none;none;
56;0.244949;0.245;left;True;True;1.528121;-5.952667;0.6527867;99.36282;2cpd;99.55825;right;none;none;
57;0.245;0.244949;right;True;True;1.242204;-9.819756;-1.352309;98.99368;4cpd;99.51542;right;none;none;
58;0.245;0.4;right;True;True;1.379012;-11.20072;-0.8219233;98.86186;2cpd;99.50729;right;none;none;
59;0.245;0.15;right;True;False;0;0;0;0;2cpd;0;none;none;none;
60;0.245;0.3130169;left;True;True;1.468907;-7.962784;-0.5528688;99.17093;4cpd;99.47819;right;none;none;
61;0.245;0.1916829;left;True;True;1.478172;-9.517387;-0.9568772;99.02255;2cpd;99.47102;left;orientationQuestion;left;
62;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
63;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
64;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
65;0.4;0.245;right;True;True;1.488357;-7.193634;1.779555;99.24435;2cpd;99.50027;left;none;none;
66;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
67;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
68;0.245;0.244949;left;True;True;1.731188;-9.345093;-1.397374;99.03899;2cpd;99.49812;left;none;none;
69;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
70;0.244949;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
71;0.244949;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
72;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
