TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.245;0.1916829;left;True;True;0.5962666;-12.62067;-0.07079506;98.72631;2cpd;99.48676;right;orientationQuestion;right;
1;0.3130169;0.245;left;True;True;0.590648;-8.320747;-1.255423;99.13677;4cpd;99.46326;left;none;none;
2;0.245;0.3130169;left;True;True;0.4111165;-10.22916;-0.9772263;98.95459;2cpd;99.45462;right;none;none;
3;0.245;0.1916829;left;True;True;0.4264495;-9.877701;-0.7017241;98.98814;2cpd;99.44719;left;orientationQuestion;left;
4;0.245;0.3130169;right;True;True;0.4997002;-10.54484;-0.3928556;98.92446;2cpd;99.45061;left;none;none;
5;0.4;0.245;right;True;True;0.3775896;-11.18798;-1.284489;98.86308;4cpd;99.47567;left;orientationQuestion;left;
6;0.15;0.245;left;True;True;0.4313895;-11.00478;-0.8171749;98.88056;4cpd;99.45903;right;none;none;
7;0.245;0.4;left;True;True;0.4874817;-10.89992;-0.7105007;98.89057;4cpd;99.45895;right;none;none;
8;0.244949;0.245;left;True;True;0.4749926;-9.025421;-1.322134;99.06951;2cpd;99.45657;right;none;none;
9;0.245;0.4;left;True;False;0;0;0;0;4cpd;0;none;none;none;
10;0.15;0.245;left;True;True;0.384216;-10.87463;-0.8186359;98.89299;2cpd;99.46355;right;none;none;
11;0.3130169;0.245;left;True;True;0.3677572;-13.74052;-0.9240198;98.6194;4cpd;99.55082;left;none;none;
12;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
13;0.245;0.1916829;left;True;True;0.3820971;-10.74055;-0.7748413;98.90578;4cpd;99.459;left;none;none;
14;0.245;0.4;right;True;True;0.3477521;-10.50362;-0.6016645;98.92839;4cpd;99.45806;right;none;none;
15;0.1916829;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
16;0.3130169;0.245;left;True;True;0.441879;-11.41152;-0.9003563;98.84173;4cpd;99.47148;left;orientationQuestion;left;
17;0.1916829;0.245;right;True;True;0.4478673;-11.42895;-1.216638;98.84007;4cpd;99.48153;right;none;none;
18;0.245;0.244949;right;True;True;0.4749905;-9.684914;-1.321665;99.00655;4cpd;99.46491;left;none;none;
19;0.15;0.245;right;True;True;0.3280787;-10.28351;-1.282322;98.9494;2cpd;99.4677;right;orientationQuestion;left;
20;0.245;0.1916829;left;True;True;0.3783136;-8.765282;-1.06146;99.09435;2cpd;99.45269;left;orientationQuestion;left;
21;0.15;0.245;right;True;True;0.4519762;-6.939392;-1.255508;99.26863;4cpd;99.48882;right;none;none;
22;0.245;0.3130169;right;True;False;0;0;0;0;4cpd;0;none;none;none;
23;0.245;0.3130169;right;True;False;0;0;0;0;2cpd;0;none;none;none;
24;0.245;0.1916829;left;True;True;0.5698478;-10.20182;-0.4605231;98.95721;4cpd;99.45526;left;orientationQuestion;right;
25;0.4;0.245;right;True;True;0.4204363;-10.47702;-0.915875;98.93094;4cpd;99.46277;left;none;none;
26;0.245;0.4;right;True;True;0.3972148;-13.46104;-0.6403694;98.6461;2cpd;99.53625;left;none;none;
27;0.3130169;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
28;0.245;0.4;right;True;True;0.5491598;-11.48734;-1.133642;98.83449;2cpd;99.48457;right;orientationQuestion;left;
29;0.245;0.4;left;True;True;0.6099048;-7.815712;-0.6592097;99.18498;4cpd;99.46629;right;orientationQuestion;right;
30;0.244949;0.245;right;True;True;0.4692108;-7.693024;-0.4048123;99.19669;2cpd;99.46373;right;none;none;
31;0.245;0.3130169;left;True;True;0.6084142;-6.658447;-0.2704258;99.29544;2cpd;99.48634;right;orientationQuestion;right;
32;0.4;0.245;left;True;True;0.6768032;-10.60078;0.1758366;98.91912;2cpd;99.44616;left;orientationQuestion;left;
33;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
34;0.4;0.245;left;True;True;0.4229024;-9.096123;-1.29139;99.06275;2cpd;99.45946;left;none;none;
35;0.245;0.4;right;True;True;0.4527394;-5.630959;-0.6499491;99.39354;4cpd;99.51953;right;none;none;
36;0.15;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
37;0.1916829;0.245;left;True;True;0.5306495;-10.84059;-0.2975049;98.89622;4cpd;99.45504;right;none;none;
38;0.245;0.244949;right;True;True;0.4074736;-11.05799;-1.040181;98.87547;4cpd;99.46227;left;orientationQuestion;left;
39;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
40;0.245;0.1916829;right;False;False;0;0;0;0;4cpd;0;none;none;none;
41;0.245;0.15;left;True;False;0;0;0;0;4cpd;0;none;none;none;
42;0.245;0.15;right;True;True;0.4506003;-9.206047;-0.808661;99.05225;4cpd;99.44559;left;orientationQuestion;right;
43;0.244949;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
