TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.1916829;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
1;0.245;0.1916829;right;True;True;0.8632234;-6.588394;0.03082609;99.30213;4cpd;99.52462;right;orientationQuestion;left;
2;0.245;0.244949;right;True;True;0.9605346;-8.684464;-0.5326195;99.10205;2cpd;99.49287;right;none;none;
3;0.244949;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
4;0.245;0.15;left;True;True;0.9103824;-9.414703;-0.02920151;99.03235;2cpd;99.48354;left;none;none;
5;0.245;0.15;left;True;True;0.8836375;-9.385193;-1.424785;99.03516;4cpd;99.50711;left;orientationQuestion;left;
6;0.4;0.245;left;True;True;0.9720346;-8.395996;-0.710722;99.12959;2cpd;99.49609;left;none;none;
7;0.1916829;0.245;left;True;True;0.901001;-9.554962;0.1012459;99.01895;2cpd;99.48329;right;none;none;
8;0.3130169;0.245;right;True;True;0.9168523;-10.93027;-0.8213167;98.88768;2cpd;99.50477;right;none;none;
9;0.3130169;0.245;right;True;True;0.8800938;-8.862289;-0.7870922;99.08509;4cpd;99.49628;right;orientationQuestion;left;
10;0.1916829;0.245;right;True;True;0.9952595;-8.417435;-0.7501674;99.12753;4cpd;99.49779;right;none;none;
11;0.245;0.1916829;left;True;True;0.8375105;-9.625237;0.05506039;99.01225;4cpd;99.47919;right;none;none;
12;0.15;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
13;0.3130169;0.245;right;True;True;0.7159923;-10.41309;-0.3605585;98.93703;4cpd;99.49101;right;none;none;
14;0.15;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
15;0.15;0.245;left;True;True;0.8153285;-8.84436;-0.5569921;99.08677;2cpd;99.48923;right;none;none;
16;0.245;0.1916829;right;True;True;0.7667406;-10.03688;-0.4286706;98.97296;2cpd;99.49379;right;none;none;
17;0.4;0.245;right;True;True;0.8398373;-11.46144;-1.342566;98.83696;4cpd;99.52687;right;none;none;
18;0.3130169;0.245;left;True;False;0;0;0;0;2cpd;0;none;none;none;
19;0.245;0.4;left;True;True;0.8607675;-12.25103;0.1276119;98.76158;4cpd;99.52587;right;none;none;
20;0.245;0.1916829;right;True;True;0.7499573;-9.45887;-1.076836;99.02813;4cpd;99.50381;right;none;none;
21;0.245;0.4;left;True;True;0.8928576;-11.01001;0.04642606;98.88004;4cpd;99.49704;right;orientationQuestion;right;
22;0.245;0.244949;right;True;True;0.8386021;-10.01124;-0.9519186;98.97538;4cpd;99.50339;right;orientationQuestion;left;
23;0.244949;0.245;left;True;True;0.8716698;-11.37917;-0.08658028;98.84483;4cpd;99.5064;right;none;none;
24;0.245;0.3130169;right;True;True;0.8291778;-9.698372;-0.7940726;99.00526;4cpd;99.49997;right;none;none;
25;0.245;0.4;right;True;True;0.7333253;-9.884628;-0.7460737;98.98749;4cpd;99.50127;right;orientationQuestion;left;
26;0.3130169;0.245;left;True;True;0.8612868;-12.00464;0.1128054;98.7851;4cpd;99.52183;left;orientationQuestion;left;
27;0.245;0.15;right;True;True;0.7228096;-10.40395;-0.3440182;98.93792;4cpd;99.49682;right;orientationQuestion;left;
28;0.245;0.15;right;True;True;0.8726106;-13.20539;-0.6633701;98.6705;2cpd;99.5673;right;none;none;
29;0.1916829;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
30;0.245;0.3130169;right;True;True;0.7756513;-11.36609;-0.1066852;98.84605;2cpd;99.50152;right;none;none;
31;0.245;0.4;left;True;True;0.7602165;-10.88879;-1.049705;98.89163;2cpd;99.5125;right;none;none;
32;0.244949;0.245;left;True;True;0.7230235;-9.591896;-1.429643;99.01543;2cpd;99.5071;right;orientationQuestion;right;
33;0.245;0.4;left;True;True;0.8700896;-13.82392;-0.142612;98.61146;2cpd;99.5816;right;none;none;
34;0.15;0.245;left;True;True;0.7985887;-10.01693;-0.4066284;98.97486;4cpd;99.49326;right;none;none;
35;0.245;0.1916829;right;True;True;0.7729435;-10.11874;-0.8639698;98.96513;2cpd;99.5009;right;none;none;
36;0.245;0.3130169;left;True;True;0.8612714;-10.23241;-0.2581763;98.95428;4cpd;99.49697;right;none;none;
37;0.4;0.245;right;True;True;0.7065036;-13.68346;-0.633832;98.62487;2cpd;99.59024;left;none;none;
38;0.245;0.3130169;left;True;True;0.7971863;-12.85033;-0.2375917;98.70439;2cpd;99.55015;right;orientationQuestion;right;
39;0.245;0.244949;right;True;True;0.6497672;-11.93823;-0.9692059;98.79146;2cpd;99.53625;right;orientationQuestion;left;
40;0.3130169;0.245;right;True;True;0.9139041;-11.19982;-0.574831;98.86193;2cpd;99.51391;right;none;none;
41;0.245;0.15;right;True;True;0.8057017;-11.42633;-0.7294736;98.84032;4cpd;99.52348;left;none;none;
42;0.244949;0.245;left;True;True;0.7955788;-10.05309;-1.443399;98.9714;4cpd;99.51939;left;none;none;
43;0.244949;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
44;0.4;0.245;left;True;True;0.8723567;-10.56081;0.06885004;98.92295;2cpd;99.49753;left;none;none;
45;0.245;0.3130169;right;True;True;0.8354624;-9.757645;-0.6157594;98.9996;2cpd;99.50227;right;none;none;
